track_id,artist,title,year,playlists,difficulty_actuel,is_francophone_actuel
119fd8fe-777e-4659-a57e-3d1524341d7e,Nine Inch Nails,Closer,1994,official-pl-halloween,,false
fc244683-d464-4734-b3a7-e679ff7ae332,Nine Inch Nails,The Hand That Feeds,2005,official-pl-2000s|official-pl-2000s-hard|official-pl-halloween,3,false
69d9d1bc-0c80-414d-a853-73ffa7a4a906,Ninho,Mamacita,2020,official-pl-hiphop-fr-2020s,,true
4a699f1d-c403-4db7-9124-47a46c12c291,Nino Ferrer,Le Sud,1975,official-pl-boomers-60-plus|official-pl-variete-francaise,,true
5a84ef5d-edd1-47af-a10a-b0ddbf70c3d4,Nirvana,Come as You Are,1992,official-pl-90s|official-pl-90s-medium|official-pl-90s-mix|official-pl-rock,2,true
1cab773b-f1bc-4fc0-bbcd-d6d28f124dc2,Nirvana,Heart-Shaped Box,1993,official-pl-90s|official-pl-90s-hard|official-pl-love-international,3,false
3bf3ddef-c7b1-4c93-9697-477695d2183b,Nirvana,In Bloom,1992,official-pl-punk-rock-90s-2000s,,false
3698d40f-ef55-49f7-9842-d9a00381a127,Nirvana,Smells Like Teen Spirit,1991,official-pl-90s|official-pl-90s-easy|official-pl-90s-hard|official-pl-90s-medium|official-pl-90s-mix|official-pl-chants-de-stade|official-pl-intros-legendaires|official-pl-karaoke|official-pl-punk-rock-90s-2000s|official-pl-rock,1,false
1fb70160-e6b5-48ba-b56f-ef66bebcf572,Nirvana,The Man Who Sold the World,1993,official-pl-reprises-celebres,,false
3827a8d9-5a57-426a-b09a-5d6ab60a5a7a,Niska,Cœur noir,2024,official-pl-hiphop-fr-2020s,,true
05489bb4-21ff-4ca1-9dcb-8b1cc336c193,Niska,Réseaux,2017,official-pl-hiphop-fr-2020s|official-pl-rap-fr|official-pl-rap-fr-culte,,true
86cbe8db-595f-4560-94ae-411651594b0d,No Doubt,Don't Speak,1996,official-pl-90s|official-pl-90s-easy|official-pl-90s-medium|official-pl-britpop-90s|official-pl-pop,1,false
68853742-1bb2-4674-9d83-09db22832fad,No Doubt,It's My Life,2003,official-pl-reprises-celebres,,false
460e4968-c7d5-4470-8a0b-7780a1000a53,No Doubt,Just a Girl,1995,official-pl-90s|official-pl-90s-hard|official-pl-pop,3,false
60f55cb9-2752-4691-8295-123f39f3ba05,Noam,Goldorak Go!,1978,official-pl-club-dorothee,,true
095463af-a1c3-447d-a220-4fd047cc1dde,Nobuo Uematsu,One-Winged Angel,1997,official-pl-video-games,,false
6fc97023-62d1-4091-bae2-57797c53d0a4,Noir Désir,À ton étoile,1997,official-pl-fr-90s|official-pl-fr-90s-hard,3,true
5fc49c39-fc0d-4c75-8943-d13deac6a1e7,Noir Désir,L'homme pressé,1996,official-pl-fr-90s|official-pl-fr-90s-medium|official-pl-rock-fr|official-pl-variete-francaise,2,true
0df28b5d-5220-4609-9a6e-f618e9675ad9,Noir Désir,Le vent nous portera,2001,official-pl-boomers-60-plus|official-pl-fr-2000s|official-pl-fr-2000s-hard|official-pl-rock-fr|official-pl-variete-francaise,3,true
